Wall time,Step,Value
1581006521.2706525,386,0.3940942585468292
1581006928.1565473,387,0.3822280168533325
1581007382.0447085,388,0.38714221119880676
1581007651.1810272,389,0.38440045714378357
1581007921.5316253,390,0.383253276348114
1581008191.1436803,391,0.38209232687950134
1581008461.3449175,392,0.3829420804977417
1581008730.369039,393,0.3800243139266968
1581009000.0001047,394,0.37587064504623413
1581009271.9504158,395,0.3764704167842865
1581009544.039031,396,0.3763507604598999
1581009815.2358298,397,0.37635308504104614
1581010087.6959274,398,0.3743366003036499
1581010359.7039416,399,0.3768717050552368
1581010631.903515,400,0.3730822503566742
1581010901.8129442,401,0.37437689304351807
1581011172.718586,402,0.3722509741783142
1581011443.9883409,403,0.374184250831604
1581011715.2006478,404,0.37446722388267517
1581011985.4591346,405,0.37037861347198486
1581012256.5829706,406,0.37167495489120483
1581012527.320863,407,0.3677365779876709
1581012798.4936829,408,0.37228211760520935
1581013069.0817006,409,0.37518417835235596
1581013340.338056,410,0.3706165552139282
1581013612.796096,411,0.36920174956321716
1581013883.8572,412,0.3706001043319702
1581014153.6176481,413,0.36948174238204956
1581014423.9547787,414,0.3703513443470001
1581014694.9487362,415,0.3600009083747864
1581014966.0098207,416,0.36307862401008606
1581015236.1129975,417,0.36579328775405884
1581015508.054476,418,0.3637290596961975
1581015779.1297545,419,0.3584648668766022
1581016050.2663844,420,0.3691066801548004
1581016321.4193876,421,0.36497989296913147
1581016592.1013467,422,0.3608430027961731
1581016864.4406304,423,0.37888169288635254
1581017136.331276,424,0.3689432144165039
1581017406.6561265,425,0.3648492097854614
1581017679.1015096,426,0.36184296011924744
1581017951.0468464,427,0.36321592330932617
1581018222.4421551,428,0.3604235351085663
1581018492.3629947,429,0.35862717032432556
1581018762.2846494,430,0.3575557470321655
1581019032.3916938,431,0.35392847657203674
1581019302.3595903,432,0.35528385639190674
1581019572.317232,433,0.36071452498435974
1581019842.1623313,434,0.3517926037311554
1581020112.014016,435,0.3547200858592987
1581020381.704102,436,0.35531583428382874
1581020651.3208742,437,0.35298144817352295
1581020920.704376,438,0.3429977595806122
1581021190.871108,439,0.35406428575515747
1581021459.6304383,440,0.3475942015647888
1581021729.5396216,441,0.35346394777297974
1581021999.2166045,442,0.3566243052482605
1581022268.6475577,443,0.35403820872306824
1581022538.5624566,444,0.34936779737472534
1581022808.2881432,445,0.3522980213165283
1581023077.7930722,446,0.3447476327419281
1581023346.8757527,447,0.34054580330848694
1581023616.4911947,448,0.34751495718955994
1581023886.2531843,449,0.3460192084312439
1581024155.845373,450,0.34794744849205017
1581024425.1078546,451,0.3398970067501068
1581024694.6000516,452,0.33916035294532776
1581024963.9517536,453,0.33965861797332764
1581025233.6356318,454,0.33553943037986755
1581025502.8191462,455,0.3373696208000183
1581025772.1657293,456,0.33359938859939575
1581026042.3814585,457,0.3319491147994995
1581026312.247474,458,0.3342988193035126
1581026581.7304475,459,0.3314882218837738
1581026851.18917,460,0.32838764786720276
1581027121.081127,461,0.3255411386489868
1581027391.3947334,462,0.3263642191886902
1581027661.9953804,463,0.33099502325057983
1581027931.5319593,464,0.3156980574131012
1581028200.7279906,465,0.331066757440567
1581028470.7579615,466,0.33066779375076294
1581028739.7780325,467,0.3303346037864685
1581029008.7991393,468,0.32111212611198425
1581029277.6820147,469,0.32227402925491333
1581029547.2819617,470,0.3188377022743225
1581029816.6735828,471,0.3602786958217621
1581030086.2197902,472,0.35776960849761963
1581030355.5535605,473,0.3447284698486328
1581030625.6315162,474,0.3366307318210602
1581030895.1876285,475,0.3294138014316559
1581031164.1949914,476,0.32313838601112366
1581031434.5370893,477,0.3256416320800781
1581031703.7408214,478,0.3253549635410309
1581031973.6174407,479,0.3172991871833801
1581032242.9053068,480,0.32382315397262573
1581032512.245576,481,0.3124496340751648
1581032781.8436823,482,0.3121075928211212
1581033052.0480385,483,0.3095540404319763
1581033320.7554107,484,0.3135201334953308
