Wall time,Step,Value
1581088047.8133898,385,0.1635640263557434
1581090364.9321287,386,0.09757136553525925
1581092660.8625803,387,0.09462329745292664
1581094917.6469421,388,0.09349852055311203
1581097255.4616616,389,0.09382647275924683
1581099584.6981144,390,0.09271495789289474
1581101919.5299702,391,0.09194201231002808
1581104195.1209517,392,0.09341877698898315
1581106496.162198,393,0.09216704964637756
1581108859.9329722,394,0.0916946679353714
1581111200.7439544,395,0.09212903678417206
1581113547.4815376,396,0.09125038981437683
1581115892.5974212,397,0.09101095795631409
1581118184.742118,398,0.09147641807794571
1581120542.9719772,399,0.0911838710308075
1581122772.505838,400,0.09227140992879868
1581125044.2924244,401,0.09098109602928162
1581127348.6050994,402,0.09139665961265564
1581129671.9215066,403,0.09143871068954468
1581132044.938505,404,0.09214697778224945
1581134372.3958766,405,0.09212569892406464
1581136720.7448387,406,0.09210855513811111
1581139049.9643152,407,0.09157218784093857
1581141373.7271113,408,0.09308652579784393
1581143712.381381,409,0.09248850494623184
1581146039.9090817,410,0.0922381654381752
1581148317.602089,411,0.09294935315847397
1581150636.0719273,412,0.09227495640516281
1581152955.703326,413,0.09449586272239685
1581155285.486764,414,0.09288674592971802
1581157654.0976105,415,0.09332016110420227
1581160010.228913,416,0.09389545768499374
1581162308.2948668,417,0.09457968920469284
1581164612.9344957,418,0.09406210482120514
1581166981.6140344,419,0.09355618804693222
1581169338.4309824,420,0.09594808518886566
1581171661.5683131,421,0.096851646900177
1581174036.9431915,422,0.09645809233188629
1581176403.9399383,423,0.0950697585940361
1581178764.5931182,424,0.09626898169517517
1581181070.143098,425,0.09514384716749191
1581183387.2956843,426,0.09649669378995895
1581185743.7441034,427,0.09778311848640442
1581188122.5634081,428,0.09580540657043457
1581190459.5669203,429,0.09860332310199738
1581192792.979498,430,0.09714516997337341
1581195131.4263837,431,0.10232624411582947
1581197452.0364475,432,0.09726186096668243
1581199804.528289,433,0.10083863884210587
1581202152.039878,434,0.10006847232580185
1581204495.5585575,435,0.09884978830814362
1581206755.5638316,436,0.09577766060829163
1581209103.2517712,437,0.09937680512666702
1581211442.5710227,438,0.10129834711551666
1581213796.1763003,439,0.09823095053434372
1581216152.8030326,440,0.09919696301221848
1581218515.7633507,441,0.10353649407625198
1581220862.841844,442,0.10332457721233368
1581223236.9604435,443,0.1019967794418335
1581225589.2064679,444,0.10247581452131271
1581227932.0234668,445,0.10046134144067764
1581230215.0571377,446,0.10443778336048126
1581232565.9311326,447,0.10409249365329742
1581234919.6831007,448,0.10047744959592819
1581237277.604525,449,0.10112674534320831
1581239596.5305536,450,0.11304279416799545
1581241941.0076408,451,0.10148821771144867
1581244301.2951112,452,0.10856150835752487
1581246655.4396288,453,0.11507443338632584
1581249001.0357044,454,0.10595660656690598
1581251343.0425565,455,0.10872122645378113
1581253632.6896102,456,0.11188919842243195
1581256009.4556596,457,0.1042809709906578
1581258363.448737,458,0.10807117074728012
1581260703.8432643,459,0.10947874933481216
1581263053.0251217,460,0.10961874574422836
1581265414.5511289,461,0.109700046479702
1581267786.4060564,462,0.11692408472299576
1581270154.7017217,463,0.11566540598869324
1581272528.1263807,464,0.1170397475361824
1581274856.8601913,465,0.11748599261045456
1581277219.9660037,466,0.11164738982915878
1581279620.745224,467,0.12142994999885559
1581281998.8355112,468,0.11043182015419006
1581284372.0143912,469,0.1120428815484047
1581286715.5663624,470,0.11318858712911606
1581289090.36854,471,0.11936616897583008
1581291463.8882735,472,0.10246630758047104
1581293792.287521,473,0.10492227226495743
1581296137.4195077,474,0.10632524639368057
1581298447.1876307,475,0.10378758609294891
1581300798.559223,476,0.11309126764535904
1581303146.8783343,477,0.12210015207529068
1581305457.9572487,478,0.1130065843462944
1581307809.059716,479,0.10955408215522766
1581310149.0102634,480,0.12588444352149963
1581312534.4539585,481,0.1298893690109253
1581314758.5752776,482,0.11648081243038177
1581317139.6449838,483,0.1143561527132988
1581319519.0136018,484,0.125336691737175
1581321899.71479,485,0.12377849966287613
