Wall time,Step,Value
1577466280.4302673,1250,0.9008651375770569
1577467612.1299038,1251,0.873046338558197
1577468963.8008678,1252,0.875647783279419
1577470317.6974263,1253,0.8535159826278687
1577471681.9617825,1254,0.8636445999145508
1577473035.209669,1255,0.8649538159370422
1577474404.0104017,1256,0.8697318434715271
1577475756.5762615,1257,0.8347046971321106
1577477108.7605186,1258,0.8532378077507019
1577478475.0840256,1259,0.8165127635002136
1577479841.3584712,1260,0.8274511694908142
1577481221.0310245,1261,0.8305441737174988
1577482600.6218421,1262,0.8395825028419495
1577483971.737293,1263,0.8326073884963989
1577485341.986434,1264,0.8264584541320801
1577486704.1940124,1265,0.8314304351806641
1577488065.039928,1266,0.8192546367645264
1577489436.4443355,1267,0.8336095809936523
1577490804.3228123,1268,0.8223116993904114
1577492172.393273,1269,0.8158267140388489
1577493543.40515,1270,0.8262271285057068
1577494914.3736033,1271,0.8288663029670715
1577496286.8500457,1272,0.8115894198417664
1577497657.5321717,1273,0.8215538263320923
1577499029.418526,1274,0.829221785068512
1577500389.4149127,1275,0.8067613244056702
1577501761.2490103,1276,0.8090627789497375
1577503133.3690512,1277,0.8146237134933472
1577504505.7403026,1278,0.8066889047622681
1577505865.6284988,1279,0.8102850317955017
1577507240.0027173,1280,0.8329758048057556
1577508611.1666236,1281,0.8233487606048584
1577509971.1255567,1282,0.8189206719398499
1577511339.9966006,1283,0.8194248676300049
1577512702.424279,1284,0.8090603947639465
1577514074.933965,1285,0.8284029364585876
1577515449.5539868,1286,0.8124909400939941
1577516809.4145176,1287,0.8259317278862
1577518194.2110953,1288,0.8049023747444153
1577519564.0439782,1289,0.8425333499908447
1577520936.5395942,1290,0.8083922266960144
1577522306.5573957,1291,0.8125115633010864
1577523677.609394,1292,0.8321589231491089
1577525048.4517777,1293,0.8170176148414612
1577526421.175258,1294,0.816348671913147
1577527781.109682,1295,0.8223096132278442
1577529152.2454736,1296,0.808491051197052
1577530522.95131,1297,0.8058528900146484
1577531893.462041,1298,0.7835806012153625
1577533262.2264562,1299,0.8171192407608032
1577534631.6144495,1300,0.8172117471694946
1577536001.3599439,1301,0.8186556696891785
1577537370.9792411,1302,0.8010231852531433
1577538741.4009137,1303,0.7964992523193359
1577540112.5260599,1304,0.8194974064826965
1577541482.0753975,1305,0.8044090867042542
1577542851.4830403,1306,0.8279157876968384
1577544220.742553,1307,0.8184515833854675
1577545590.717941,1308,0.822464644908905
1577546949.754334,1309,0.8191160559654236
1577548319.113841,1310,0.8126177787780762
1577549688.8037362,1311,0.8131129741668701
1577551060.6151283,1312,0.8333191871643066
1577552430.6954706,1313,0.7990736365318298
1577553800.8879747,1314,0.8262001276016235
1577555170.4852004,1315,0.8303805589675903
1577556532.059549,1316,0.8152216672897339
1577557903.735385,1317,0.8094456195831299
1577559274.4479415,1318,0.8221461772918701
1577560647.7761488,1319,0.815224826335907
1577562006.8722286,1320,0.812138020992279
1577563377.234593,1321,0.8312585353851318
1577564747.0173059,1322,0.8353438973426819
1577566119.206369,1323,0.8101692199707031
1577567479.2192833,1324,0.8228223323822021
1577568848.2835891,1325,0.8224441409111023
1577570219.7457402,1326,0.798275887966156
1577571592.0621927,1327,0.8216869831085205
1577572953.4113839,1328,0.795050859451294
1577574324.180682,1329,0.8206875324249268
1577575698.583979,1330,0.8090988397598267
1577577069.4929636,1331,0.8026929497718811
1577578443.0423212,1332,0.816581130027771
1577579823.6480203,1333,0.829497218132019
1577581184.3431218,1334,0.8181498646736145
1577582547.2127368,1335,0.807647168636322
1577583908.566843,1336,0.8134924173355103
1577585266.926208,1337,0.7981289029121399
1577586639.4064484,1338,0.8029235005378723
1577588000.0189764,1339,0.7988501787185669
1577589366.1005502,1340,0.813233494758606
1577590739.9434578,1341,0.8202275633811951
1577592083.311211,1342,0.8153057098388672
1577593431.6036284,1343,0.8238028883934021
1577594780.340886,1344,0.8252060413360596
1577596122.6924818,1345,0.807817280292511
1577597475.7329915,1346,0.8246943354606628
1577598816.3385901,1347,0.8132919073104858
1577600133.9222865,1348,0.8179108500480652
1577601461.7995286,1349,0.8208815455436707
